WeatherTime,t-000h,t-006h,t-012h,t-018h,t-024h,t-030h,t-036h,t-042h,t-048h,t-054h,t-060h,t-066h,t-072h,t-078h,t-084h,t-090h,t-096h,t-102h,t-108h,t-114h,t-120h,t-126h,t-132h,t-138h,t-144h,t-150h,t-156h,t-162h,t-168h,t-174h,t-180h,t-186h,t-192h,t-198h
2018-04-18T12:00:00,29.4444444444,29.4444444444,29.4444444444,,28.8888888889,,28.8888888889,28.8888888889,,28.8888888889,28.8888888889,28.8888888889,28.8888888889,,28.8888888889,28.3333333333,28.3333333333,28.3333333333,28.3333333333,,27.7777777778,,27.2222222222,,26.6666666667,,26.1111111111,,26.1111111111,,25.5555555556,,,
2018-04-19T12:00:00,26.6666666667,,24.4444444444,,23.8888888889,23.8888888889,25,,26.6666666667,,26.1111111111,26.6666666667,,26.6666666667,26.6666666667,27.2222222222,27.2222222222,,27.7777777778,27.7777777778,27.7777777778,27.7777777778,27.7777777778,,27.2222222222,,26.6666666667,,26.1111111111,,26.1111111111,,,
2018-04-19T18:00:00,26.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-20T12:00:00,22.2222222222,22.2222222222,22.2222222222,22.2222222222,22.2222222222,,22.2222222222,,22.2222222222,22.2222222222,22.2222222222,,21.6666666667,,22.7777777778,23.8888888889,,23.8888888889,23.8888888889,24.4444444444,24.4444444444,,24.4444444444,25,25,25,25,,25,,25,,,
2018-04-20T18:00:00,22.2222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-21T12:00:00,23.8888888889,,23.3333333333,23.3333333333,23.3333333333,23.3333333333,22.7777777778,23.3333333333,23.3333333333,,23.3333333333,,23.3333333333,23.3333333333,23.3333333333,,23.8888888889,,23.8888888889,24.4444444444,,24.4444444444,24.4444444444,24.4444444444,24.4444444444,,24.4444444444,26.1111111111,26.1111111111,26.1111111111,26.1111111111,,,
2018-04-21T18:00:00,23.8888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-22T12:00:00,22.2222222222,,21.6666666667,21.1111111111,21.1111111111,,21.1111111111,21.1111111111,21.1111111111,21.1111111111,21.1111111111,21.6666666667,21.6666666667,,21.6666666667,,22.2222222222,22.2222222222,22.2222222222,,21.6666666667,,23.3333333333,23.8888888889,,23.8888888889,23.8888888889,23.8888888889,23.8888888889,,23.8888888889,,,
2018-04-22T18:00:00,21.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-23T12:00:00,21.1111111111,21.1111111111,,20.5555555556,20.5555555556,,20.5555555556,19.4444444444,19.4444444444,,20,20,20,20,20,20,20,,19.4444444444,,20,20,19.4444444444,,19.4444444444,,20.5555555556,21.6666666667,,21.6666666667,22.7777777778,22.7777777778,,
2018-04-23T18:00:00,21.1111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-24T12:00:00,25,25,25.5555555556,25.5555555556,25.5555555556,25,,25.5555555556,25.5555555556,,24.4444444444,24.4444444444,24.4444444444,,21.6666666667,22.2222222222,22.2222222222,22.2222222222,21.6666666667,21.6666666667,21.6666666667,,21.1111111111,,21.1111111111,21.1111111111,20.5555555556,,20,,21.1111111111,,,
2018-04-24T18:00:00,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-25T12:00:00,26.6666666667,26.6666666667,26.6666666667,26.6666666667,26.1111111111,26.1111111111,26.1111111111,26.1111111111,26.1111111111,25.5555555556,,25.5555555556,25.5555555556,,25.5555555556,25.5555555556,25.5555555556,,23.8888888889,23.8888888889,23.8888888889,23.8888888889,23.3333333333,23.3333333333,23.3333333333,,23.3333333333,,22.7777777778,22.7777777778,22.2222222222,,,
2018-04-25T18:00:00,26.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-26T12:00:00,25.5555555556,25.5555555556,25.5555555556,25.5555555556,25.5555555556,25.5555555556,25,25,25,25,23.8888888889,23.8888888889,23.8888888889,23.8888888889,,23.8888888889,23.8888888889,,23.8888888889,23.8888888889,23.8888888889,,23.8888888889,24.4444444444,24.4444444444,24.4444444444,25,25.5555555556,25.5555555556,,23.8888888889,,,
2018-04-27T00:00:00,25.5555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-27T12:00:00,24.4444444444,24.4444444444,24.4444444444,,24.4444444444,24.4444444444,24.4444444444,24.4444444444,24.4444444444,24.4444444444,24.4444444444,24.4444444444,24.4444444444,24.4444444444,24.4444444444,25,25,25,,25,25,,25,25,25,,24.4444444444,25,25,25,25,,,
2018-04-27T18:00:00,24.4444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-28T12:00:00,28.3333333333,27.2222222222,27.2222222222,27.2222222222,26.6666666667,26.6666666667,26.1111111111,,26.1111111111,26.1111111111,25.5555555556,25.5555555556,25.5555555556,25.5555555556,25.5555555556,25.5555555556,25.5555555556,25.5555555556,25,24.4444444444,24.4444444444,23.8888888889,,23.8888888889,23.8888888889,,23.8888888889,23.8888888889,23.8888888889,,22.2222222222,23.8888888889,23.8888888889,23.8888888889
2018-04-29T00:00:00,28.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-29T12:00:00,23.3333333333,,23.8888888889,,23.3333333333,23.3333333333,23.3333333333,23.3333333333,23.3333333333,23.3333333333,23.3333333333,,23.8888888889,23.8888888889,24.4444444444,26.1111111111,26.1111111111,26.1111111111,26.1111111111,26.6666666667,26.6666666667,26.6666666667,26.6666666667,26.6666666667,26.6666666667,26.1111111111,,26.1111111111,26.1111111111,,23.8888888889,22.2222222222,22.2222222222,
2018-04-30T00:00:00,23.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-30T12:00:00,26.1111111111,26.1111111111,25.5555555556,,24.4444444444,,25,,25,25,25,25,25,25,25,,25,25,25,26.1111111111,26.1111111111,26.1111111111,26.6666666667,26.6666666667,26.6666666667,26.6666666667,26.6666666667,26.6666666667,26.6666666667,26.1111111111,,25,25,
2018-04-30T18:00:00,26.1111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01T12:00:00,29.4444444444,29.4444444444,29.4444444444,29.4444444444,28.3333333333,28.3333333333,27.7777777778,,27.7777777778,,28.3333333333,,28.3333333333,28.3333333333,28.8888888889,28.8888888889,28.8888888889,28.8888888889,28.3333333333,,28.3333333333,28.3333333333,27.7777777778,27.7777777778,27.7777777778,27.7777777778,27.2222222222,26.6666666667,26.6666666667,26.6666666667,26.1111111111,25.5555555556,25.5555555556,
2018-05-02T12:00:00,,,,,29.4444444444,29.4444444444,30,30,30,30,29.4444444444,,29.4444444444,,30,,30,30,30,30.5555555556,30.5555555556,30.5555555556,30,,30,30,29.4444444444,28.8888888889,28.8888888889,28.8888888889,28.3333333333,26.6666666667,26.6666666667,26.6666666667
2018-05-03T12:00:00,,,,,,,,,29.4444444444,29.4444444444,31.1111111111,31.1111111111,31.1111111111,31.1111111111,31.1111111111,,30.5555555556,,31.1111111111,,31.1111111111,31.1111111111,31.6666666667,31.6666666667,31.6666666667,31.6666666667,30.5555555556,,30.5555555556,30.5555555556,30,28.8888888889,28.8888888889,28.8888888889
2018-05-04T12:00:00,,,,,,,,,,,,,31.6666666667,31.6666666667,31.6666666667,31.6666666667,32.2222222222,32.2222222222,32.2222222222,,32.2222222222,,32.2222222222,,32.2222222222,32.2222222222,32.2222222222,31.6666666667,31.6666666667,31.6666666667,30,,,
2018-05-05T12:00:00,,,,,,,,,,,,,,,,,31.6666666667,31.6666666667,31.6666666667,31.6666666667,31.1111111111,31.1111111111,30,,30.5555555556,,30.5555555556,,30,30,30.5555555556,,,
2018-05-06T12:00:00,,,,,,,,,,,,,,,,,,,,,27.7777777778,27.7777777778,27.7777777778,28.3333333333,28.3333333333,28.3333333333,28.8888888889,,28.3333333333,,27.7777777778,,,
2018-05-07T12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,27.7777777778,27.7777777778,27.7777777778,27.7777777778,27.7777777778,27.7777777778,27.2222222222,,,
2018-05-08T12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7777777778,27.7777777778,27.7777777778,27.7777777778,,

